RESPID,STRATUM,COMTYPE2,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RELIG,EDUCCAT,PARTY,HISP,RACECMB,RACETHN,AGECAT,BIRTHPLACE,GENDER,ADULTS,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
15628,10,2,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,3,99,1,99,3,2,4,1,1,2,2,2,0.802200473100524,3.4488301389328635
3531,10,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5,1,2,99,1,1,4,4,1,2,8,3,1,1.604400946201048,0.4447225747011398
2736,10,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,3,2,99,99,99,2,99,2,2,1,3,2,0.802200473100524,0.6380216053233643
5441,10,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,1,1,4,1,1,99,8,3,1,1.604400946201048,0.4447225747011398
1869,10,3,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,1,3,1,1,2,8,3,2,1.604400946201048,1.6616071153244418
8722,10,1,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,2,1,1,3,2,1,2,2,4,4,1,0.802200473100524,0.6518391320333441
16953,10,3,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,4,1,2,2,5,2,2,1.604400946201048,0.833070975445885
9510,10,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,2,1,1,4,1,2,1,6,4,1,0.802200473100524,0.5613268304846374
9773,10,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,1,1,1,1,1,2,8,1,1,0.802200473100524,1.1390252396508562
12790,10,1,1.0,1.0,2.0,2.0,2.0,99.0,2.0,2.0,2.0,99.0,2.0,1,1,3,2,1,1,4,1,1,2,3,4,1,0.802200473100524,0.2861842232734421
4089,9,3,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,10,2,2,2,1,1,3,1,1,1,3,3,1,0.2254502980338609,0.1760101196645509
6920,1,2,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,2,2,2,2,2,1,2,2,4,3,1,0.3203285984286912,0.3001057016981942
2787,10,2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,12,1,2,2,1,1,3,1,2,2,8,1,1,1.604400946201048,1.32322139617263
5086,10,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2,1,1,1,1,3,4,4,1,1,8,3,1,0.802200473100524,0.354054032553088
15020,10,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,99,2,1,1,4,1,2,2,3,3,1,1.604400946201048,1.9968099254175449
10245,10,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,4,1,1,2,5,4,1,1.604400946201048,0.9751397755117776
17724,10,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,10,1,2,2,1,1,4,1,2,1,7,1,1,0.802200473100524,0.365449410979772
8832,10,3,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,1,3,1,2,3,99,2,2,1.2033007096507862,0.6260713454917531
4339,10,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,2,2,1,1,4,1,2,1,6,2,1,0.802200473100524,0.3023377648021949
10505,10,1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,12,1,2,2,1,1,1,1,2,3,2,4,1,1.2033007096507862,1.5964818640924727
13486,9,3,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,3,1,2,2,8,3,1,0.901801192135444,0.5278720604967184
16164,10,2,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,10,1,3,1,1,3,3,1,1,2,7,3,1,0.802200473100524,0.4453931112797212
13710,10,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,5,1,1,2,1,1,2,1,1,3,8,1,1,2.4066014193015723,2.956111513318964
17555,10,3,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,2,1,1,4,7,2,2,1.2033007096507862,1.6463560222889273
8055,10,1,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,3,2,1,1,2,1,1,1,3,2,1,0.401100236550262,0.625776672246847
17625,10,2,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,4,2,1,1,2,1,2,3,4,2,1,2.4066014193015723,1.3153511126673034
6828,10,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,1,4,1,1,2,6,2,1,0.802200473100524,0.206812892530228
17919,10,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,4,1,1,2,4,2,2,1.604400946201048,0.7412577348195644
5952,4,99,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,99,1,4,2,2,2,2,1,2,2,1,2,1,1.6815511175595308,3.305416033982217
14398,10,2,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,12,3,3,2,3,5,1,1,1,3,3,2,1,1.2033007096507862,5.454124253915292
2666,9,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,1,2,1,1,4,1,1,2,4,2,1,0.901801192135444,1.5241113520568783
752,10,1,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,9,1,2,2,1,1,2,1,1,2,8,4,1,1.604400946201048,1.2305313692469513
18282,6,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,2,2,1,1,3,1,2,3,3,4,1,2.3493925251425223,1.4961323704073803
6040,4,2,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,99.0,1,2,2,2,2,2,2,1,2,1,3,3,1,0.4203877793898827,0.3858228433663886
18180,9,3,1.0,1.0,99.0,1.0,99.0,99.0,1.0,1.0,99.0,99.0,99.0,1,1,2,2,1,1,3,1,2,3,5,3,2,1.3527017882031658,0.7820945596623758
4510,5,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,4,4,4,1,1,4,4,4,1,1.8744623313396571,1.1646080375363783
7937,10,2,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,2,2,1,1,2,1,2,2,7,3,1,0.802200473100524,0.7189362833729186
4770,10,2,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,3,2,2,2,2,1,2,1,1,2,1,0.802200473100524,0.967305764986246
4634,10,2,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,2,2,1,1,3,1,1,2,7,2,1,1.604400946201048,0.950449442981856
8437,10,1,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5,1,2,2,1,1,4,1,2,2,5,4,1,0.802200473100524,0.3710431888255634
4889,10,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,9,2,2,2,1,1,2,1,1,1,4,4,1,0.401100236550262,0.6478546436029461
10003,9,2,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,11,3,4,2,1,1,2,1,2,2,1,2,1,0.901801192135444,1.717256211978792
5521,9,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,3,3,2,1,1,4,1,1,5,4,4,1,1.3527017882031658,2.092713812220687
14715,10,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,3,2,1,1,4,1,2,2,8,1,1,0.802200473100524,0.5698294077656687
3503,10,3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,11,2,4,2,1,1,3,1,2,2,5,4,2,1.604400946201048,1.8223178013513013
1424,10,2,1.0,1.0,99.0,1.0,99.0,1.0,99.0,99.0,99.0,99.0,99.0,1,3,1,1,1,3,3,1,2,3,6,1,1,1.2033007096507862,1.0273837793607064
16234,10,1,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4,1,2,2,2,2,4,4,1,2,2,3,1,0.802200473100524,0.2998682619265852
4148,10,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,2,3,2,1,1,2,1,1,3,5,1,2,2.4066014193015723,4.016750274466853
14098,10,1,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,12,1,2,2,1,1,4,1,1,1,5,1,1,0.401100236550262,0.2038161371609365
14327,10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1,1,2,1,1,3,1,1,4,6,1,2,2.4066014193015723,1.2051246435644891
5054,10,3,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,2,2,5,3,1,1.604400946201048,0.7630699387453158
13529,10,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,1,4,1,2,1,2,4,1,0.401100236550262,0.3228723217621868
17814,10,3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,2,1,1,2,5,3,1,1.604400946201048,1.7519112595682511
86,10,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,1,3,1,1,2,99,2,2,0.802200473100524,0.3797054129843545
5918,10,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,1,1,4,2,1,0.401100236550262,0.1927883736005273
17692,10,3,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,3,1,2,1,1,4,1,2,2,5,3,1,0.802200473100524,0.5764491267940132
14724,10,2,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,2,2,1,1,3,1,2,4,8,3,1,1.2033007096507862,0.9422927769111674
9737,10,1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,12,1,2,2,1,1,4,1,2,3,5,2,1,2.4066014193015723,0.8556301262230324
17255,10,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4,1,2,2,1,1,2,1,2,2,8,1,1,1.604400946201048,1.4977150847663203
17369,10,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,3,1,2,2,4,1,1,1.604400946201048,1.520572007118251
1560,7,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,12,3,2,2,5,4,2,4,2,4,1,4,1,0.5324944802748801,2.2208383130110136
3101,10,2,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,2,1,1,4,4,2,2,5,4,1,1.604400946201048,1.0969620768774988
18796,6,1,,,,,,,,,,,,12,3,4,2,1,1,1,1,1,1,1,4,1,0.391565420857087,0.5654057474672329
2531,10,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,8,1,3,2,1,1,4,1,1,1,1,1,1,0.401100236550262,0.2549871739512723
13699,10,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,3,4,1,1,3,1,3,1,3,2,3,1,1.2033007096507862,5.454124253915292
9577,10,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,10,3,3,2,1,1,1,1,1,1,4,2,1,0.401100236550262,2.0291462730138936
14804,10,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1,2,2,1,1,4,1,2,1,1,3,1,0.401100236550262,0.2819515295121069
12568,10,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,3,2,1,1,3,1,1,2,8,2,1,0.802200473100524,0.4019661911375884
7588,6,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1,3,4,1,99,3,2,1,2,2,6,1,1,1.566261683428348,3.0179857408685504
17500,10,2,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,2,2,7,2,1,1.604400946201048,0.6631381472436976
9282,9,1,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,2,1,1,3,3,1,1,2,5,4,1,0.901801192135444,0.566901883802163
13033,10,3,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,4,2,1,1,4,1,2,4,1,3,1,2.4066014193015723,2.004956351247237
5110,10,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,2,2,1,1,2,1,2,1,6,3,1,0.802200473100524,0.8093860012207937
13958,10,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,2,2,1,1,4,1,1,1,6,2,1,0.401100236550262,0.148553214921541
12453,10,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,3,1,2,1,1,4,1,2,2,1,3,2,1.604400946201048,1.3886257028521587
478,9,1,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,10,1,3,2,1,1,1,1,1,1,7,4,1,0.4509005960677219,0.2476364156436732
15981,10,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,10,1,3,2,1,1,2,1,1,2,8,2,1,1.604400946201048,2.6960632495281387
1103,7,3,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,3,1,1,3,1,3,1,1,2,4,1,0.0887490800458133,0.2219081314282638
16896,10,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,1,1,4,1,2,1,1,4,1,0.401100236550262,0.1983673864586697
17656,10,3,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12,2,1,2,1,1,1,1,2,2,5,2,2,0.802200473100524,1.0594864552624468
7901,10,2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,2,2,2,2,3,1,1,2,6,1,1,0.802200473100524,0.6304251349564208
18287,10,2,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,2,2,5,4,4,1,2,99,3,4,1,1.604400946201048,1.104113123671843
15397,6,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,3,2,1,1,4,1,2,3,2,4,1,2.3493925251425223,2.1154446462337986
7543,10,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,3,2,1,1,4,1,2,2,4,3,2,0.802200473100524,0.1627127449144341
18443,3,2,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1,3,2,2,2,2,2,1,2,1,4,3,1,0.4714378755672587,0.5065993952262261
7524,9,3,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,1,1,8,3,1,0.4509005960677219,0.1613676221356547
14010,10,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,2,2,1,1,4,1,2,1,1,3,1,0.802200473100524,0.5037394064304664
9560,10,3,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,1,2,1,1,4,1,2,2,5,3,2,1.604400946201048,0.6978294979786571
16138,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1,1,2,2,1,1,3,1,1,3,8,1,1,2.4066014193015723,1.4120354238085395
3927,10,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5,1,2,2,1,1,4,1,1,2,8,3,1,1.604400946201048,0.4447225747011398
10628,2,2,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,11,1,2,2,1,1,4,1,2,1,4,1,1,0.2886818343575065,0.2215063590125043
6278,7,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,2,1,99,3,3,1,2,1,2,4,1,0.0887490800458133,0.0689407420217793
8353,7,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,1,2,1,1,3,2,1,2,1,1,3,1,0.1774981600916267,0.2903640641079055
13270,7,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,2,1,5,3,4,4,2,2,2,4,1,0.3549963201832534,0.2306754844672114
12137,10,1,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4,1,2,2,1,1,2,1,1,1,7,3,1,0.401100236550262,0.4002736337042479
13458,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2,2,2,2,2,3,1,2,1,3,2,1,0.802200473100524,0.4889138810449907
17650,10,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,2,2,1,1,3,1,2,2,7,1,1,1.604400946201048,0.9326871127588636
11990,10,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,4,1,1,2,1,3,2,1.604400946201048,0.6226993579247316
2129,10,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,1,1,4,1,1,1,4,1,1,0.802200473100524,0.4361251706872197
16824,10,3,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,2,4,1,5,3,4,1,1,1,5,3,1,0.802200473100524,0.2597436319953859
2697,8,3,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,3,1,1,2,8,4,1,0.3849644251589357,0.2853895236243669
5797,10,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,2,1,1,2,4,2,2,0.802200473100524,0.5487701574859883
16538,10,1,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,2,99,2,1,1,4,1,1,2,4,3,1,0.802200473100524,0.3099366092538655
11854,6,2,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,10,2,2,1,1,3,2,1,1,1,4,3,1,0.391565420857087,0.4891225082577327
5020,9,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,12,1,2,2,1,1,2,1,2,2,5,2,1,0.4509005960677219,0.3625425927591895
9765,10,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,1,4,1,2,1,4,3,2,0.802200473100524,0.5277201878243599
5356,10,2,2.0,2.0,2.0,2.0,2.0,1.0,2.0,99.0,2.0,2.0,2.0,2,1,2,2,1,1,4,1,2,2,6,4,1,1.604400946201048,0.7163947935593507
11676,9,3,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,12,1,3,2,1,1,4,1,2,1,5,3,1,0.4509005960677219,0.205565908408859
13007,10,3,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,3,2,4,4,4,1,2,2,8,3,2,0.802200473100524,0.4811370345561364
14071,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,12,1,3,2,2,2,2,4,2,2,6,3,1,0.802200473100524,0.7425756308892045
9103,10,1,1.0,1.0,2.0,1.0,99.0,1.0,2.0,2.0,2.0,2.0,2.0,12,3,3,2,1,1,3,1,2,3,4,3,1,1.2033007096507862,1.645495960785871
1750,10,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4,1,2,2,1,1,2,1,2,1,8,3,1,0.802200473100524,0.7189362833729186
2425,10,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99,1,2,2,1,1,4,1,2,2,3,1,1,1.604400946201048,1.1139672314395614
11846,9,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,3,1,1,1,4,4,2,0.4509005960677219,0.4149205886113135
7206,10,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,11,1,3,2,2,2,2,1,2,3,5,3,1,1.2033007096507862,1.101017654287919
9339,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2,3,2,1,99,3,1,1,1,3,7,2,1,1.154893275476807,2.9421304775880834
13000,7,2,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,3,1,1,99,3,2,1,2,3,6,3,1,0.5324944802748801,0.983893160298594
11896,4,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,2.0,2.0,1,1,2,2,1,1,4,1,2,1,2,3,1,0.4203877793898827,0.0689407420217793
17144,3,3,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,3,3,1,4,3,99,2,2,99,1,3,1,0.4714378755672587,0.6945022373483165
7336,10,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,1,2,1,1,3,1,1,2,8,2,2,1.604400946201048,0.8414082441097314
8652,10,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99,99,3,1,5,3,2,1,2,1,2,3,1,0.401100236550262,0.1269162342524524
5257,7,1,1.0,1.0,99.0,1.0,99.0,99.0,1.0,99.0,99.0,99.0,99.0,1,3,99,1,1,3,2,4,2,2,1,3,1,0.1774981600916267,0.5448309066160003
7442,8,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,3,4,1,99,3,3,1,2,2,2,4,1,0.7699288503178715,1.1914940475105171
15979,10,99,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,2,1,2,3,3,1,2,3,5,1,1,2.4066014193015723,1.0426000003237526
3096,10,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,2,1,2,1,1,3,3,1,1,1,3,2,0.401100236550262,0.5282586307578954
7512,10,1,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,9,2,4,2,1,1,2,1,2,1,4,4,1,0.401100236550262,0.4509829452961921
14291,3,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,3,4,2,1,1,3,1,3,1,4,1,1,0.2357189377836293,0.2139519121363545
16101,7,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,2,2,2,2,2,1,1,2,8,3,1,0.1774981600916267,0.2426129153415284
7691,10,3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1,2,1,2,1,1,3,1,2,1,4,3,2,0.802200473100524,0.5142784534551035
2954,10,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,12,2,4,1,1,3,1,1,2,3,5,4,1,2.4066014193015723,5.281828494248449
11262,4,3,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,3,1,2,2,2,3,1,2,99,1,2,1,0.8407755587797654,1.2175498222906973
5401,6,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,3,2,1,1,3,3,4,2,2,2,4,1,1.566261683428348,1.8954075617261632
462,10,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,2,1,2,1,1,4,4,2,1,1,4,1,0.802200473100524,1.0745592922401956
579,8,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,3,1,99,3,4,4,2,1,1,1,1,0.3849644251589357,0.4829553003184566
17485,8,2,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2,1,3,1,1,3,3,1,1,1,4,3,1,0.1924822125794678,0.1131011832294916
17052,10,2,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,1,2,1,2,2,7,3,1,0.802200473100524,0.5735073842061904
11068,10,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,1,1,3,1,2,2,2,3,1,1.604400946201048,2.185430753017235
11938,10,2,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99,2,4,2,1,1,4,1,1,1,2,2,1,0.802200473100524,0.532282771536131
1849,10,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,4,2,1,1,3,1,1,2,2,2,2,1.604400946201048,3.176723474257653
10916,4,3,,,,,,,,,,,,12,3,99,2,2,2,4,1,1,1,2,3,1,0.8407755587797654,1.4759176034689137
15379,10,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,3,4,2,1,1,1,1,1,2,3,2,1,0.802200473100524,2.2648626338499858
1587,10,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,4,2,1,1,1,1,1,2,4,3,2,1.604400946201048,1.937415405927199
11205,10,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,11,3,3,2,1,1,4,1,2,1,1,1,1,0.401100236550262,0.2794611511936012
6335,10,2,,,,,,,,,,,,99,99,1,2,1,1,2,1,1,2,8,2,1,1.604400946201048,0.3624529752451593
10044,10,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,12,3,4,2,2,2,1,1,2,3,1,3,1,1.2033007096507862,4.477653947461594
7797,10,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,4,1,1,1,99,1,1,0.802200473100524,0.4927264115515458
14420,10,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,1,1,4,1,2,2,7,2,1,0.802200473100524,0.4687531967653417
