RESPID,STRATUM,COMTYPE2,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RELIG,EDUCCAT,PARTY,HISP,RACECMB,RACETHN,AGECAT,BIRTHPLACE,GENDER,ADULTS,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
3187,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6,2,2,2,2,2,3,4,2,3,6,3,1,1.2033007096507862,0.8294532989810968
384,7,2,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,12,3,2,1,99,3,2,1,2,1,1,1,1,0.0887490800458133,0.1162368833616184
6370,10,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,2,1,2,1,1,3,1,1,2,8,4,1,0.802200473100524,0.6906951039512931
16191,10,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,2,1,8,3,1,0.802200473100524,0.3943807614185459
116,7,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,99,1,99,3,2,1,2,3,8,4,1,0.26624724013744,0.5049278658487991
4709,10,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,2,1,1,2,7,3,1,0.802200473100524,0.5839163571908784
18185,7,2,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,10,2,2,1,1,3,1,1,1,5,5,4,1,0.26624724013744,0.5016907386426683
1486,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2,1,1,1,1,3,1,1,2,3,8,3,1,2.3493925251425223,2.76599375119468
7016,5,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99,99,2,2,2,2,3,1,2,1,1,1,1,0.624820777113219,0.4879257692574578
11149,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1,3,3,2,2,2,2,1,2,3,2,3,1,0.2402464488215184,0.2800627148632414
